company_id,company_name,cfo_quality_score,free_cash_flow_cr,cashflow_classification,confidence_pct,operating_activity,investing_activity,financing_activity,capital_allocation,distress_signal,deleveraging
ABB,Abbott India Ltd,1.01,797.0,Excellent Cash Generator,95,1213.0,-416.0,-745.0,Shareholder Returns,No,Yes
ADANIENSOL,Adani Energy Solutions Ltd,5.05,1095.0,Excellent Cash Generator,95,6038.0,-4943.0,-543.0,Shareholder Returns,No,Yes
ADANIENT,Adani Enterprises Ltd,3.09,-8455.0,Moderate Cash Flow,95,10312.0,-18767.0,8879.0,Mixed,No,No
ADANIGREEN,Adani Green Energy Ltd,6.12,-13347.0,Moderate Cash Flow,95,7713.0,-21060.0,13953.0,Mixed,No,No
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",1.85,8250.0,Excellent Cash Generator,95,15018.0,-6768.0,-7800.0,Shareholder Returns,No,Yes
ADANIPOWER,Adani Power Ltd,0.68,17651.0,Healthy Cash Flow,85,14170.0,3481.0,-16864.0,Liquidating Assets,No,Yes
AMBUJACEM,Ambuja Cements Ltd,1.19,-3295.0,Moderate Cash Flow,95,5646.0,-8941.0,5689.0,Mixed,No,No
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",2.05,383.0,Excellent Cash Generator,95,1920.0,-1537.0,-311.0,Shareholder Returns,No,Yes
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",1.1,3556.0,Excellent Cash Generator,95,6104.0,-2548.0,-2982.0,Shareholder Returns,No,Yes
AXISBANK,Axis Bank Ltd,-0.22,-14556.0,Weak Cash Flow,55,-5555.0,-9001.0,22341.0,Growth Funded by Debt,Yes,No
BAJAJ-AUTO,Bajaj Auto Ltd,0.85,6486.0,Excellent Cash Generator,95,6558.0,-72.0,-6167.0,Reinvestor,No,Yes
BAJAJFINSV,Bajaj Finserv Ltd,-4.4,-79634.0,Weak Cash Flow,55,-68674.0,-10960.0,82709.0,Growth Funded by Debt,Yes,No
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,0.26,1469.0,Weak Cash Flow,55,1941.0,-472.0,-1455.0,Reinvestor,No,Yes
BAJFINANCE,Bajaj Finance Ltd,-5.03,-79931.0,Weak Cash Flow,55,-72760.0,-7171.0,82415.0,Growth Funded by Debt,Yes,No
BANKBARODA,Bank of Baroda,-0.33,-7559.0,Weak Cash Flow,55,-6274.0,-1285.0,5476.0,Growth Funded by Debt,Yes,No
BEL,Bharat Electronics Ltd,1.17,-1265.0,Moderate Cash Flow,95,4659.0,-5924.0,-1475.0,Shareholder Returns,No,Yes
BHARTIARTL,Bharti Airtel Ltd,9.22,27809.0,Excellent Cash Generator,95,78898.0,-51089.0,-27778.0,Shareholder Returns,No,Yes
BHEL,"Bharat Heavy Electricals Limited
",-13.17,-2382.0,Weak Cash Flow,55,-3713.0,1331.0,2656.0,Distress Signal,Yes,No
BOSCHLTD,Bosch Ltd,0.5,1536.0,Moderate Cash Flow,70,1253.0,283.0,-1452.0,Liquidating Assets,No,Yes
BPCL,Bharat Petroleum Corporation Ltd,1.34,25415.0,Excellent Cash Generator,95,35936.0,-10521.0,-25427.0,Shareholder Returns,No,Yes
BRITANNIA,Britannia Industries Ltd,1.21,3050.0,Excellent Cash Generator,95,2573.0,477.0,-2830.0,Liquidating Assets,No,Yes
CANBK,Canara Bank,0.98,13296.0,Excellent Cash Generator,95,15046.0,-1750.0,-3834.0,Reinvestor,No,Yes
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,-10.43,-38538.0,Weak Cash Flow,55,-35683.0,-2855.0,38471.0,Growth Funded by Debt,Yes,No
CIPLA,"Cipla Ltd
",1.0,1152.0,Excellent Cash Generator,95,4134.0,-2982.0,-1200.0,Reinvestor,No,Yes
COALINDIA,Coal India Ltd,0.48,13617.0,Moderate Cash Flow,70,18103.0,-4486.0,-13899.0,Reinvestor,No,Yes
DABUR,Dabur India Ltd,1.11,1042.0,Excellent Cash Generator,95,2013.0,-971.0,-1161.0,Shareholder Returns,No,Yes
DIVISLAB,Divis Laboratories Ltd,0.79,992.0,Healthy Cash Flow,85,1261.0,-269.0,-799.0,Reinvestor,No,Yes
DLF,DLF Ltd,0.93,1010.0,Excellent Cash Generator,95,2539.0,-1529.0,177.0,Mixed,No,No
DMART,Avenue Supermarts Ltd,1.08,278.0,Excellent Cash Generator,95,2746.0,-2468.0,-148.0,Shareholder Returns,No,Yes
DRREDDY,Dr Reddys Laboratories Ltd,0.81,509.0,Excellent Cash Generator,95,4543.0,-4034.0,-376.0,Reinvestor,No,Yes
EICHERMOT,Eicher Motors Ltd,0.93,890.0,Excellent Cash Generator,95,3724.0,-2834.0,-844.0,Reinvestor,No,Yes
GAIL,GAIL (India) Ltd,1.27,4360.0,Excellent Cash Generator,95,12586.0,-8226.0,-3457.0,Shareholder Returns,No,Yes
