table,rows_in,rows_out,runtime_s,timestamp
analysis,20,20,0.48,2026-07-02 18:01:53.746477
balancesheet,1312,1312,0.15,2026-07-02 18:01:53.896529
cashflow,1187,1187,0.11,2026-07-02 18:01:54.009514
companies,92,92,0.05,2026-07-02 18:01:54.057230
documents,1585,1585,0.08,2026-07-02 18:01:54.139067
financial_ratios,1184,1184,0.15,2026-07-02 18:01:54.287813
market_cap,552,552,0.08,2026-07-02 18:01:54.371715
peer_groups,56,56,0.03,2026-07-02 18:01:54.397609
profitandloss,1276,1276,0.2,2026-07-02 18:01:54.596556
prosandcons,16,16,0.03,2026-07-02 18:01:54.631676
sectors,92,92,0.03,2026-07-02 18:01:54.660477
stock_prices,5520,5520,0.42,2026-07-02 18:01:55.084896
