company_id,company_name,year,previous_pattern,capital_allocation
ABB,Abbott India Ltd,2017-03,Reinvestor,Shareholder Returns
ABB,Abbott India Ltd,2018-03,Shareholder Returns,Reinvestor
ABB,Abbott India Ltd,2019-03,Reinvestor,Shareholder Returns
ABB,Abbott India Ltd,2023-03,Shareholder Returns,Reinvestor
ABB,Abbott India Ltd,2024-03,Reinvestor,Shareholder Returns
ADANIENSOL,Adani Energy Solutions Ltd,2015-03,Cash Accumulator,Growth Funded by Debt
ADANIENSOL,Adani Energy Solutions Ltd,2016-03,Growth Funded by Debt,Shareholder Returns
ADANIENSOL,Adani Energy Solutions Ltd,2018-03,Shareholder Returns,Mixed
ADANIENSOL,Adani Energy Solutions Ltd,2021-03,Mixed,Shareholder Returns
ADANIENSOL,Adani Energy Solutions Ltd,2023-03,Shareholder Returns,Mixed
ADANIENSOL,Adani Energy Solutions Ltd,2024-03,Mixed,Shareholder Returns
ADANIENT,Adani Enterprises Ltd,2014-03,Mixed,Shareholder Returns
ADANIENT,Adani Enterprises Ltd,2015-03,Shareholder Returns,Mixed
ADANIENT,Adani Enterprises Ltd,2016-03,Mixed,Shareholder Returns
ADANIENT,Adani Enterprises Ltd,2017-03,Shareholder Returns,Mixed
ADANIENT,Adani Enterprises Ltd,2019-03,Mixed,Liquidating Assets
ADANIENT,Adani Enterprises Ltd,2020-03,Liquidating Assets,Shareholder Returns
ADANIENT,Adani Enterprises Ltd,2021-03,Shareholder Returns,Mixed
ADANIENT,Adani Enterprises Ltd,2023-03,Mixed,Shareholder Returns
ADANIENT,Adani Enterprises Ltd,2024-03,Shareholder Returns,Mixed
ADANIGREEN,Adani Green Energy Ltd,2023-03,Mixed,Shareholder Returns
ADANIGREEN,Adani Green Energy Ltd,2024-03,Shareholder Returns,Mixed
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",2015-03,Mixed,Shareholder Returns
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",2016-03,Shareholder Returns,Mixed
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",2017-03,Mixed,Shareholder Returns
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",2019-03,Shareholder Returns,Mixed
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",2020-03,Mixed,Shareholder Returns
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",2021-03,Shareholder Returns,Mixed
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",2022-03,Mixed,Shareholder Returns
ADANIPOWER,Adani Power Ltd,2015-03,Mixed,Reinvestor
ADANIPOWER,Adani Power Ltd,2016-03,Reinvestor,Shareholder Returns
ADANIPOWER,Adani Power Ltd,2017-03,Shareholder Returns,Reinvestor
ADANIPOWER,Adani Power Ltd,2021-03,Reinvestor,Shareholder Returns
ADANIPOWER,Adani Power Ltd,2022-03,Shareholder Returns,Liquidating Assets
AMBUJACEM,Ambuja Cements Ltd,2013-12,Shareholder Returns,Reinvestor
AMBUJACEM,Ambuja Cements Ltd,2014-12,Reinvestor,Shareholder Returns
AMBUJACEM,Ambuja Cements Ltd,2018-12,Shareholder Returns,Reinvestor
AMBUJACEM,Ambuja Cements Ltd,2019-12,Reinvestor,Shareholder Returns
AMBUJACEM,Ambuja Cements Ltd,2023-03,Shareholder Returns,Mixed
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",2014-03,Mixed,Shareholder Returns
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",2015-03,Shareholder Returns,Mixed
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",2018-03,Mixed,Shareholder Returns
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",2015-03,Shareholder Returns,Reinvestor
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",2016-03,Reinvestor,Shareholder Returns
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",2017-03,Shareholder Returns,Reinvestor
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",2018-03,Reinvestor,Shareholder Returns
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",2022-03,Shareholder Returns,Reinvestor
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",2024-03,Reinvestor,Shareholder Returns
AXISBANK,Axis Bank Ltd,2015-03,Mixed,Growth Funded by Debt
AXISBANK,Axis Bank Ltd,2016-03,Growth Funded by Debt,Distress Signal
AXISBANK,Axis Bank Ltd,2017-03,Distress Signal,Shareholder Returns
