company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,total_debt_cr,high_leverage_warning,asset_turnover,free_cash_flow_cr,capex_cr,cfo_quality_score,fcf_conversion_rate,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,sales,eps,book_value,dividend_payout,composite_quality_score,id,year_market,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,broad_sector,sector_median_pe,fcf_yield_pct,pe_vs_sector_pct,flag
ABB,2024-03,20.53,24.84,32.47,44.98,23.13,0.02,141.75,83,0,1.13,797.0,7.11,1.01,54.85,9.72,21.69,21.66,5849,565.0,1657.0,73.0,64.16,6.0,2024,1536236.24,1619349.16,75.58,4.48,12.63,0.96,Industrials,47.155,0.05,160.28,Caution
BAJAJFINSV,2024-03,14.13,37.04,25.85,11.71,2.9,4.79,2.2,120548,0,0.21,-79634.0,9.93,-4.4,-194.77,20.97,23.75,20.59,110382,51.0,428.0,2.0,36.94,78.0,2024,1905112.17,1807796.2,15.07,6.08,39.72,2.56,Financials,33.57,-4.18,44.89,Discount
BAJFINANCE,2024-03,26.29,29.29,18.84,4.36,3.85,3.82,2689.17,262465,0,0.15,-79931.0,13.04,-5.03,-496.5,24.35,29.32,27.56,54972,233.0,1402.0,15.0,45.99,90.0,2024,2473271.58,2632574.41,69.2,4.11,15.96,0.27,Financials,33.57,-3.23,206.14,Caution
BANKBARODA,2024-03,15.94,37.49,15.76,2.82,1.14,12.14,1.9,1046625,0,0.07,-7559.0,1.09,-0.33,-17.03,17.48,74.51,55.18,118379,36.0,231.0,21.0,33.69,96.0,2024,590971.02,656699.32,16.89,4.15,24.7,2.62,Financials,33.57,-1.28,50.31,Discount
BEL,2024-03,19.66,24.92,4744.05,4504.72,2475.16,0.51,476.75,42,0,125.89,-1265.0,29.23,1.17,-25.04,10.75,16.13,10.76,20268,5.0,24.0,40.0,68.36,102.0,2024,1354781.06,1259877.04,17.89,9.22,23.14,0.76,Industrials,47.155,-0.09,37.94,Discount
BHEL,2024-03,1.18,2.98,1.15,3.96,0.47,0.36,1.59,8600,0,0.4,-2382.0,5.57,-13.17,-335.02,-4.73,-22.4,-19.73,23893,1.0,70.0,31.0,14.16,114.0,2024,540053.85,682460.17,29.8,11.43,21.59,4.04,Industrials,47.155,-0.44,63.2,Discount
BOSCHLTD,2024-03,14.89,12.52,20.64,30.25,14.35,0.0,71.78,-5086,0,0.96,1536.0,1.69,0.5,73.32,6.72,9.28,9.26,16727,844.0,4319.0,44.0,49.38,120.0,2024,2599556.05,2628370.51,58.43,6.47,16.07,4.23,Consumer Discretionary,38.005,0.06,153.74,Caution
BPCL,2024-03,5.99,9.84,35.51,36.18,13.27,0.72,11.36,27968,0,2.21,25415.0,2.35,1.34,57.65,8.48,25.79,28.06,448083,62.0,178.0,33.0,65.05,126.0,2024,468662.13,606487.07,68.15,0.72,26.59,1.15,Energy,44.57,5.42,152.91,Caution
CHOLAFIN,2024-03,17.85,28.1,17.46,3.51,2.18,6.86,21.21,130439,1,0.12,-38538.0,14.9,-10.43,-715.65,21.94,23.36,22.28,19163,41.0,255.0,5.0,31.52,144.0,2024,971931.96,1024979.49,16.79,10.36,13.52,2.83,Financials,33.57,-3.97,50.01,Discount
COALINDIA,2024-03,26.26,66.29,45.17,105.75,15.8,0.08,11.24,-587,0,0.6,13617.0,3.15,0.48,14.43,7.4,16.43,16.85,142324,61.0,156.0,42.0,75.46,156.0,2024,454024.84,574785.39,34.27,14.75,25.15,4.38,Materials,55.62,3.0,61.61,Discount
DMART,2024-03,4.99,8.08,13.56,22.04,11.98,0.03,73.29,485,0,2.4,278.0,4.86,1.08,6.77,20.48,22.97,22.74,50789,39.0,309.0,0.0,52.2,180.0,2024,3053088.97,3624591.94,72.53,11.71,36.84,1.94,Consumer Discretionary,38.005,0.01,190.84,Caution
DRREDDY,2024-03,19.91,28.32,19.74,29.22,14.38,0.07,51.71,-2928,0,0.72,509.0,14.4,0.81,6.42,12.64,23.39,23.84,28011,67.0,369.0,12.0,57.26,186.0,2024,2441803.28,2725256.67,11.73,10.19,14.56,0.09,Healthcare,47.06,0.02,24.93,Discount
EICHERMOT,2024-03,24.2,26.18,22.17,31.68,17.31,0.02,114.71,-13108,0,0.72,890.0,17.14,0.93,20.56,11.04,12.68,12.51,16536,146.0,693.0,35.0,57.95,192.0,2024,222391.83,234358.89,15.62,13.61,19.29,4.41,Consumer Discretionary,38.005,0.4,41.1,Discount
GAIL,2024-03,7.43,10.74,12.86,17.19,7.94,0.28,23.62,-116,0,1.07,4360.0,6.17,1.27,30.46,11.83,8.61,8.45,133228,15.0,127.0,37.0,46.32,198.0,2024,1531867.57,1613856.89,25.84,9.54,33.07,0.31,Energy,44.57,0.28,57.98,Discount
GODREJCP,2024-03,-3.98,20.98,-4.45,4.73,-3.05,0.26,2.41,-282,0,0.77,-1365.0,24.37,-3.69,-46.16,6.45,,,14096,-5.0,119.0,,,204.0,2024,1327797.2,1350416.57,33.59,8.07,23.55,3.09,Consumer Staples,50.95,-0.1,65.93,Discount
GRASIM,2024-03,7.58,20.76,11.2,12.39,2.41,1.55,3.02,7849,0,0.32,-33833.0,17.65,-1.08,-124.41,11.15,29.31,27.73,130978,85.0,1411.0,12.0,30.91,210.0,2024,478951.82,601673.21,79.35,5.68,15.23,0.98,Industrials,47.155,-7.06,168.27,Caution
